epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,28009,0.94482,0.42479,0.96034,0.89342,0.82057,0.89197,0.59933,1.15844,0.51105,1.04321,0.00030007,0.00030007,0.00030007
72,28293.2,0.94337,0.42489,0.9587,0.89873,0.81516,0.89151,0.5993,1.15903,0.51175,1.04331,0.000290071,0.000290071,0.000290071
73,28613.5,0.94161,0.42351,0.95765,0.89702,0.81746,0.89194,0.59901,1.15928,0.51169,1.0434,0.000280072,0.000280072,0.000280072
74,28939.9,0.93588,0.42125,0.95915,0.89672,0.81736,0.89209,0.59908,1.1595,0.51188,1.04371,0.000270073,0.000270073,0.000270073
75,29249.5,0.93621,0.41911,0.95873,0.89687,0.81741,0.89192,0.59926,1.15991,0.51188,1.04408,0.000260074,0.000260074,0.000260074
76,29536.1,0.93478,0.41895,0.95813,0.89816,0.81692,0.89217,0.59925,1.16048,0.51217,1.04462,0.000250075,0.000250075,0.000250075
77,29818.7,0.9293,0.41605,0.95506,0.89684,0.81668,0.89165,0.59874,1.16075,0.51298,1.0448,0.000240076,0.000240076,0.000240076
78,30099.8,0.92893,0.4152,0.95394,0.89535,0.81823,0.89178,0.59893,1.16076,0.51311,1.04468,0.000230077,0.000230077,0.000230077
79,30379.4,0.92368,0.41432,0.95524,0.8951,0.81853,0.89196,0.599,1.16146,0.51354,1.04499,0.000220078,0.000220078,0.000220078
80,30659.8,0.92422,0.41283,0.95356,0.89574,0.81804,0.89194,0.59906,1.16186,0.51342,1.04528,0.000210079,0.000210079,0.000210079
81,30940.5,0.92233,0.41138,0.95488,0.8956,0.818,0.89184,0.59868,1.16221,0.5141,1.04565,0.00020008,0.00020008,0.00020008
82,31221.4,0.91826,0.40994,0.95209,0.8961,0.81775,0.89181,0.59902,1.16233,0.51436,1.04584,0.000190081,0.000190081,0.000190081
83,31502.7,0.92197,0.41069,0.954,0.89761,0.81756,0.89199,0.59901,1.16285,0.51466,1.04626,0.000180082,0.000180082,0.000180082
84,31783.3,0.91899,0.40972,0.95323,0.89567,0.81823,0.89221,0.59862,1.16314,0.5148,1.0466,0.000170083,0.000170083,0.000170083
